,location,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,Name_2010,lat,lng
53,"Albany, OR",1867.0,3079.0,3149.0,4275.0,4840.0,5325.0,5654.0,10115.0,12926.0,18181.0,26511.0,29462.0,40852.0,50158.0,Albany city,44.6365107,-123.10592820000001
54,"Albemarle, NC",0.0,0.0,0.0,0.0,2691.0,3493.0,4060.0,11798.0,12261.0,11126.0,15110.0,14939.0,15680.0,15903.0,Albemarle city,35.350142600000005,-80.2000578
55,"Albert Lea, MN",0.0,3305.0,4500.0,6192.0,8056.0,10169.0,12200.0,13545.0,17108.0,19418.0,19200.0,18310.0,18356.0,18016.0,Albert Lea city,43.6480127,-93.3682656
56,"Albertville, AL",0.0,0.0,0.0,0.0,0.0,2716.0,3651.0,5397.0,8250.0,9963.0,12039.0,14507.0,17247.0,21160.0,Albertville city,34.267593700000006,-86.20886690000002
57,"Albertville, MN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3621.0,7044.0,Albertville city,45.237742,-93.6544085
58,"Albia, IA",0.0,0.0,2889.0,4969.0,5067.0,4425.0,5157.0,4838.0,4582.0,4151.0,4184.0,3870.0,3706.0,3766.0,Albia city,41.02667460000001,-92.8057514
59,"Albion, MI",2716.0,3763.0,4519.0,5833.0,8354.0,8324.0,8345.0,10406.0,12749.0,12112.0,11059.0,10066.0,9144.0,8616.0,Albion city,42.243097,-84.7530304
60,"Albion, NY",3623.0,4586.0,4477.0,5016.0,4683.0,4878.0,4660.0,4850.0,5182.0,5122.0,4897.0,5863.0,7438.0,6056.0,Albion village,43.246447700000004,-78.193632
61,"Albuquerque, NM",0.0,3785.0,6238.0,11020.0,15157.0,26570.0,35449.0,96815.0,201189.0,244501.0,332920.0,384736.0,448607.0,545852.0,Albuquerque city,35.0844909,-106.65113670000001
62,"Alcoa, TN",0.0,0.0,0.0,0.0,3358.0,5255.0,5131.0,6355.0,6395.0,7739.0,6870.0,6400.0,7734.0,8449.0,Alcoa city,35.7895271,-83.9737935
63,"Aldan, PA",0.0,0.0,0.0,0.0,0.0,0.0,2642.0,3430.0,4324.0,5001.0,4671.0,4549.0,4313.0,4152.0,Aldan borough,39.9215014,-75.2879632
64,"Alden, NY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.0,0.0,0.0,2666.0,2605.0,Alden village,42.9000596,-78.4919671
65,"Aledo, IL",0.0,0.0,0.0,0.0,0.0,0.0,2593.0,2919.0,3080.0,3325.0,3881.0,3681.0,3613.0,3640.0,Aledo city,41.199756799999996,-90.7493063
66,"Aledo, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2716.0,Aledo city,32.6959643,-97.60224709999999
67,"Alexander City, AL",0.0,0.0,0.0,0.0,0.0,4519.0,6640.0,6430.0,13140.0,12358.0,13807.0,14917.0,15008.0,14875.0,Alexander City city,32.944012,-85.9538532
68,"Alexander, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901.0,Alexander city,34.629537299999996,-92.44126740000002
69,"Alexandria, IN",0.0,0.0,7221.0,5096.0,4172.0,4408.0,4801.0,5147.0,5582.0,5097.0,6028.0,5709.0,6260.0,5145.0,Alexandria city,40.2628184,-85.675809
70,"Alexandria, KY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3844.0,4735.0,5592.0,8286.0,8477.0,Alexandria city,38.9595078,-84.3879946
71,"Alexandria, LA",0.0,2861.0,5648.0,11213.0,17510.0,23025.0,27066.0,34913.0,40279.0,41811.0,51648.0,49188.0,46342.0,47723.0,Alexandria city,31.3112936,-92.4451371
72,"Alexandria, MN",0.0,0.0,2681.0,3001.0,3388.0,3876.0,5051.0,6319.0,6713.0,6973.0,7608.0,7838.0,8820.0,11070.0,Alexandria city,45.88523970000001,-95.37753790000001
73,"Alexandria, VA",13659.0,14339.0,14528.0,15329.0,18060.0,24149.0,33523.0,61787.0,91023.0,110927.0,103217.0,111183.0,128283.0,139966.0,Alexandria city,38.804835600000004,-77.0469214
74,"Alfred, NY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2807.0,3804.0,4967.0,4559.0,3954.0,4174.0,Alfred village,42.254236600000006,-77.79055090000001
75,"Algona, IA",0.0,0.0,2911.0,2908.0,3724.0,3985.0,4954.0,5415.0,5702.0,6032.0,6289.0,6015.0,5741.0,5560.0,Algona city,43.0699663,-94.233019
76,"Algona, WA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014.0,Algona city,47.2789896,-122.2520647
77,"Algonac, MI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639.0,3190.0,3684.0,4412.0,4551.0,4613.0,4110.0,Algonac city,42.6183675,-82.531018
78,"Algonquin, IL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3515.0,5834.0,11663.0,23276.0,30046.0,Algonquin village,42.16558010000001,-88.2942493
79,"Algood, TN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2942.0,3495.0,Algood city,36.1958946,-85.4485849
80,"Alhambra, CA",0.0,808.0,800.0,5021.0,9096.0,29472.0,38935.0,51359.0,54807.0,62125.0,64767.0,82106.0,85804.0,83089.0,Alhambra city,34.095287,-118.1270146
81,"Alice, TX",0.0,0.0,0.0,0.0,0.0,4239.0,7792.0,16449.0,20861.0,20121.0,20961.0,19788.0,19010.0,19104.0,Alice city,27.752248699999996,-98.06972490000001
